time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.029,,,,,,,,,,,,,,,,,,,,
0.131,,,,,,,,,,,,,,,,,,,,
0.233,,,,,,,,,,,,,,,,,,,,
0.343,,,,,,,,,,,,,,,,,,,,
0.445,,,,,,,,,,,,,,,,,,,,
0.548,,,,,,,,,,,,,,,,,,,,
0.651,,,,,,,,,,,,,,,,,,,,
0.753,,,,,,,,,,,,,,,,,,,,
0.858,,,,,,,,,,,,,,,,,,,,
1.061,,,,,,,,,,,,,,,,,,,,
1.063,,,,,,,,,,,,,,,,,,,,
1.064,,,,,,,,,,,,,,,,,,,,
1.066,,,,,,,,,,,,,,,,,,,,
1.067,,,,,,,,,,,,,,,,,,,,
1.068,,,,,,,,,,,,,,,,,,,,
1.068,-2.737,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",0.000,0.000,0.000,0,0,0,3.600,-0.900,0.000,0.000,0.009,-0.021
1.071,,,,,,,,,,,,,,,,,,,,
1.072,,,,,,,,,,,,,,,,,,,,
1.075,,,,,,,,,,,,,,,,,,,,
1.081,,,,,,,,,,,,,,,,,,,,
1.086,,,,,,,,,,,,,,,,,,,,
1.088,,,,,,,,,,,,,,,,,,,,
1.093,-2.737,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",3.048,3.048,3.048,1,1,1,3.600,-0.900,0.000,0.000,0.009,-0.021
1.095,,,,,,,,,,,,,,,,,,,,
1.096,,,,,,,,,,,,,,,,,,,,
1.097,,,,,,,,,,,,,,,,,,,,
1.098,,,,,,,,,,,,,,,,,,,,
1.442,-1.406,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,0.012,0.002
1.444,,,,,,,,,,,,,,,,,,,,
1.446,,,,,,,,,,,,,,,,,,,,
1.449,,,,,,,,,,,,,,,,,,,,
1.454,-1.406,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.000,0.000,0.012,0.002
1.456,,,,,,,,,,,,,,,,,,,,
1.458,,,,,,,,,,,,,,,,,,,,
1.459,,,,,,,,,,,,,,,,,,,,
1.850,-1.951,0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.004,-0.000,0.030,-0.012
1.852,,,,,,,,,,,,,,,,,,,,
1.853,,,,,,,,,,,,,,,,,,,,
1.855,,,,,,,,,,,,,,,,,,,,
1.864,-1.951,0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.004,-0.000,0.030,-0.012
1.865,,,,,,,,,,,,,,,,,,,,
1.867,,,,,,,,,,,,,,,,,,,,
1.869,,,,,,,,,,,,,,,,,,,,
2.246,0.322,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,0.000,-0.002,-0.002,0.006
2.250,,,,,,,,,,,,,,,,,,,,
2.251,,,,,,,,,,,,,,,,,,,,
2.253,,,,,,,,,,,,,,,,,,,,
2.258,0.322,0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.602,-0.898,0.000,-0.002,-0.002,0.006
2.263,,,,,,,,,,,,,,,,,,,,
2.265,,,,,,,,,,,,,,,,,,,,
2.267,,,,,,,,,,,,,,,,,,,,
2.649,-1.802,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.001,0.000,0.017,-0.004
2.651,,,,,,,,,,,,,,,,,,,,
2.652,,,,,,,,,,,,,,,,,,,,
2.655,,,,,,,,,,,,,,,,,,,,
2.660,-1.802,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,0.001,0.000,0.017,-0.004
2.663,,,,,,,,,,,,,,,,,,,,
2.665,,,,,,,,,,,,,,,,,,,,
2.667,,,,,,,,,,,,,,,,,,,,
3.043,-2.313,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,0.003,-0.001,0.024,-0.022
3.046,,,,,,,,,,,,,,,,,,,,
3.047,,,,,,,,,,,,,,,,,,,,
3.050,,,,,,,,,,,,,,,,,,,,
3.054,-2.313,0.001,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.601,-0.899,0.003,-0.001,0.024,-0.022
3.055,,,,,,,,,,,,,,,,,,,,
3.057,,,,,,,,,,,,,,,,,,,,
3.061,,,,,,,,,,,,,,,,,,,,
3.442,0.871,-0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.598,-0.902,-0.002,0.002,-0.019,0.016
3.447,,,,,,,,,,,,,,,,,,,,
3.450,,,,,,,,,,,,,,,,,,,,
3.452,,,,,,,,,,,,,,,,,,,,
3.457,0.871,-0.002,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.598,-0.902,-0.002,0.002,-0.019,0.016
3.461,,,,,,,,,,,,,,,,,,,,
3.463,,,,,,,,,,,,,,,,,,,,
3.467,,,,,,,,,,,,,,,,,,,,
3.850,-1.997,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",6.096,3.048,3.048,2,1,1,3.600,-0.900,-0.001,0.000,0.033,-0.015
