Timestamp,Command,Position_mm,Speed_mm/s
2025-05-05 21:06:36.486148,SDO,,
2025-05-05 21:06:36.686551,NMT Start,,
2025-05-05 21:06:36.886988,Clear Error,,
2025-05-05 21:06:37.087427,Run Out,,
2025-05-05 21:06:57.087810,Run In,,
2025-05-05 21:06:59.089725,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:06:59.091049,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:06:59.092340,PDO_FEEDBACK_20,0.0,0.0
2025-05-05 21:06:59.093410,PDO_FEEDBACK_20,0.8,4.7
2025-05-05 21:06:59.094279,PDO_FEEDBACK_20,5.8,21.3
2025-05-05 21:06:59.095111,PDO_FEEDBACK_20,11.7,24.3
2025-05-05 21:06:59.095959,PDO_FEEDBACK_20,17.5,23.7
2025-05-05 21:06:59.097198,PDO_FEEDBACK_20,23.1,22.1
2025-05-05 21:06:59.101841,PDO_FEEDBACK_20,28.4,22.0
2025-05-05 21:06:59.103213,PDO_FEEDBACK_20,33.7,20.9
2025-05-05 21:06:59.104033,PDO_FEEDBACK_20,39.1,21.0
2025-05-05 21:06:59.104870,PDO_FEEDBACK_20,44.4,20.5
2025-05-05 21:06:59.105753,PDO_FEEDBACK_20,49.5,20.8
2025-05-05 21:06:59.107006,PDO_FEEDBACK_20,54.8,20.2
2025-05-05 21:06:59.107910,PDO_FEEDBACK_20,59.9,20.5
2025-05-05 21:06:59.108613,PDO_FEEDBACK_20,65.2,19.9
2025-05-05 21:06:59.109399,PDO_FEEDBACK_20,70.5,20.1
2025-05-05 21:06:59.110166,PDO_FEEDBACK_20,75.6,20.1
2025-05-05 21:06:59.110927,PDO_FEEDBACK_20,80.9,20.1
2025-05-05 21:06:59.111695,PDO_FEEDBACK_20,86.3,21.3
2025-05-05 21:06:59.112435,PDO_FEEDBACK_20,91.3,20.0
2025-05-05 21:06:59.113172,PDO_FEEDBACK_20,96.7,21.3
2025-05-05 21:06:59.113871,PDO_FEEDBACK_20,102.0,20.2
2025-05-05 21:06:59.114677,PDO_FEEDBACK_20,107.1,21.6
2025-05-05 21:06:59.115662,PDO_FEEDBACK_20,112.4,20.5
2025-05-05 21:06:59.116469,PDO_FEEDBACK_20,117.7,21.5
2025-05-05 21:06:59.117313,PDO_FEEDBACK_20,122.8,20.9
2025-05-05 21:06:59.119755,PDO_FEEDBACK_20,128.1,21.5
2025-05-05 21:06:59.122369,PDO_FEEDBACK_20,133.4,21.4
2025-05-05 21:06:59.124578,PDO_FEEDBACK_20,138.5,21.2
2025-05-05 21:06:59.127388,PDO_FEEDBACK_20,143.8,21.1
2025-05-05 21:06:59.129480,PDO_FEEDBACK_20,149.2,21.2
2025-05-05 21:06:59.131516,PDO_FEEDBACK_20,154.2,21.2
2025-05-05 21:06:59.133007,PDO_FEEDBACK_20,159.6,21.3
2025-05-05 21:06:59.133812,PDO_FEEDBACK_20,164.9,21.5
2025-05-05 21:06:59.134592,PDO_FEEDBACK_20,170.0,21.1
2025-05-05 21:06:59.180055,PDO_FEEDBACK_20,261.1,20.2
2025-05-05 21:06:59.429732,PDO_FEEDBACK_20,255.7,20.5
2025-05-05 21:06:59.679644,PDO_FEEDBACK_20,250.4,20.5
2025-05-05 21:06:59.929552,PDO_FEEDBACK_20,245.1,20.6
2025-05-05 21:07:00.179509,PDO_FEEDBACK_20,240.0,20.6
2025-05-05 21:07:00.429486,PDO_FEEDBACK_20,234.7,20.8
2025-05-05 21:07:00.679272,PDO_FEEDBACK_20,229.6,20.8
2025-05-05 21:07:00.929152,PDO_FEEDBACK_20,224.3,21.0
2025-05-05 21:07:01.179089,PDO_FEEDBACK_20,218.9,22.0
2025-05-05 21:07:01.428964,PDO_FEEDBACK_20,213.6,21.4
2025-05-05 21:07:01.678886,PDO_FEEDBACK_20,208.5,22.5
2025-05-05 21:07:01.928759,PDO_FEEDBACK_20,203.2,21.2
2025-05-05 21:07:02.178681,PDO_FEEDBACK_20,198.1,22.7
2025-05-05 21:07:02.428583,PDO_FEEDBACK_20,192.8,21.3
2025-05-05 21:07:02.678464,PDO_FEEDBACK_20,187.7,22.6
2025-05-05 21:07:02.928373,PDO_FEEDBACK_20,182.4,21.2
2025-05-05 21:07:03.178280,PDO_FEEDBACK_20,177.1,21.6
2025-05-05 21:07:03.428196,PDO_FEEDBACK_20,172.0,21.0
2025-05-05 21:07:03.678072,PDO_FEEDBACK_20,166.7,21.1
2025-05-05 21:07:03.927945,PDO_FEEDBACK_20,161.4,20.5
2025-05-05 21:07:04.177886,PDO_FEEDBACK_20,156.3,20.8
2025-05-05 21:07:04.427883,PDO_FEEDBACK_20,151.0,20.5
2025-05-05 21:07:04.677729,PDO_FEEDBACK_20,145.6,20.3
2025-05-05 21:07:04.927706,PDO_FEEDBACK_20,140.5,21.2
2025-05-05 21:07:05.177624,PDO_FEEDBACK_20,135.2,20.4
2025-05-05 21:07:05.427515,PDO_FEEDBACK_20,130.1,21.1
2025-05-05 21:07:05.677424,PDO_FEEDBACK_20,124.8,20.1
2025-05-05 21:07:05.927293,PDO_FEEDBACK_20,119.7,20.8
2025-05-05 21:07:06.177196,PDO_FEEDBACK_20,114.4,20.0
2025-05-05 21:07:06.427098,PDO_FEEDBACK_20,109.1,20.5
