time_sec,x,y,vx,vy,sampling_time_sec,actuator_id,command,actuator_position_mm,actuator_speed_mms,event_type
0.030,,,,,,1570,,,,CAN_SEND
0.233,,,,,,1572,,,,CAN_SEND
0.435,,,,,,1574,,,,CAN_SEND
0.637,,,,,,0,,,,CAN_SEND
0.839,,,,,,0,,,,CAN_SEND
1.042,,,,,,0,,,,CAN_SEND
1.244,,,,,,546,,,,CAN_SEND
1.447,,,,,,548,,,,CAN_SEND
1.650,,,,,,550,,,,CAN_SEND
1.890,,,,,,22,,0.3,,PDO_FEEDBACK
1.958,,,,,,22,,0.3,,PDO_FEEDBACK
2.015,,,,,,22,,0.3,,PDO_FEEDBACK
2.067,,,,,,22,,0.3,,PDO_FEEDBACK
2.081,,,-0.042,-0.048,1744843183.236,22,,0.3,,GPS_FRAME
2.094,1346925.453,1844222.080,-0.042,-0.048,1744843183.236,22,,0.3,,INITIAL_POSITION
2.152,1346925.453,1844222.080,-0.042,-0.048,1744843183.236,22,,0.3,,PDO_FEEDBACK
2.372,1346925.453,1844222.080,-0.042,-0.048,1744843183.236,22,,0.3,,PDO_FEEDBACK
2.477,1346925.453,1844222.080,-0.044,-0.019,1744843183.632,22,,0.3,,GPS_FRAME
2.492,1346925.453,1844222.080,-0.044,-0.019,1744843183.647,22,,0.3,,RELATIVE_FRAME
2.621,1346925.453,1844222.080,-0.044,-0.019,1744843183.647,22,,0.3,,PDO_FEEDBACK
2.871,1346925.453,1844222.080,-0.044,-0.019,1744843183.647,22,,0.3,,PDO_FEEDBACK
2.881,1346925.453,1844222.080,-0.048,-0.017,1744843184.036,22,,0.3,,GPS_FRAME
2.888,1346925.440,1844222.080,-0.048,-0.017,1744843184.043,22,,0.3,,RELATIVE_FRAME
3.121,1346925.440,1844222.080,-0.048,-0.017,1744843184.043,22,,0.3,,PDO_FEEDBACK
3.282,1346925.440,1844222.080,-0.031,-0.010,1744843184.438,22,,0.3,,GPS_FRAME
3.296,1346925.440,1844222.080,-0.031,-0.010,1744843184.451,22,,0.3,,RELATIVE_FRAME
3.371,1346925.440,1844222.080,-0.031,-0.010,1744843184.451,22,,0.3,,PDO_FEEDBACK
3.621,1346925.440,1844222.080,-0.031,-0.010,1744843184.451,22,,0.3,,PDO_FEEDBACK
3.678,1346925.440,1844222.080,-0.026,0.003,1744843184.833,22,,0.3,,GPS_FRAME
3.690,1346925.280,1844222.080,-0.026,0.003,1744843184.845,22,,0.3,,RELATIVE_FRAME
3.871,1346925.280,1844222.080,-0.026,0.003,1744843184.845,22,,0.3,,PDO_FEEDBACK
4.080,1346925.280,1844222.080,-0.023,0.011,1744843185.235,22,,0.3,,GPS_FRAME
4.090,1346925.280,1844221.920,-0.023,0.011,1744843185.245,22,,0.3,,RELATIVE_FRAME
4.122,1346925.280,1844221.920,-0.023,0.011,1744843185.245,22,,0.3,,PDO_FEEDBACK
4.373,1346925.280,1844221.920,-0.023,0.011,1744843185.245,22,,0.3,,PDO_FEEDBACK
4.476,1346925.280,1844221.920,-0.020,0.009,1744843185.631,22,,0.3,,GPS_FRAME
4.489,1346925.280,1844222.080,-0.020,0.009,1744843185.644,22,,0.3,,RELATIVE_FRAME
4.621,1346925.280,1844222.080,-0.020,0.009,1744843185.644,22,,0.3,,PDO_FEEDBACK
4.871,1346925.280,1844222.080,-0.020,0.009,1744843185.644,22,,0.3,,PDO_FEEDBACK
4.884,1346925.280,1844222.080,-0.011,0.013,1744843186.039,22,,0.3,,GPS_FRAME
4.893,1346925.120,1844222.080,-0.011,0.013,1744843186.048,22,,0.3,,RELATIVE_FRAME
5.121,1346925.120,1844222.080,-0.011,0.013,1744843186.048,22,,0.3,,PDO_FEEDBACK
5.283,1346925.120,1844222.080,-0.013,0.006,1744843186.438,22,,0.3,,GPS_FRAME
5.294,1346925.120,1844222.080,-0.013,0.006,1744843186.449,22,,0.3,,RELATIVE_FRAME
5.371,1346925.120,1844222.080,-0.013,0.006,1744843186.449,22,,0.3,,PDO_FEEDBACK
5.621,1346925.120,1844222.080,-0.013,0.006,1744843186.449,22,,0.3,,PDO_FEEDBACK
5.676,1346925.120,1844222.080,-0.025,0.012,1744843186.831,22,,0.3,,GPS_FRAME
5.686,1346924.973,1844222.093,-0.025,0.012,1744843186.841,22,,0.3,,RELATIVE_FRAME
5.871,1346924.973,1844222.093,-0.025,0.012,1744843186.841,22,,0.3,,PDO_FEEDBACK
6.082,1346924.973,1844222.093,-0.035,0.015,1744843187.237,22,,0.3,,GPS_FRAME
6.097,1346924.973,1844222.093,-0.035,0.015,1744843187.252,22,,0.3,,RELATIVE_FRAME
6.121,1346924.973,1844222.093,-0.035,0.015,1744843187.252,22,,0.3,,PDO_FEEDBACK
6.371,1346924.973,1844222.093,-0.035,0.015,1744843187.252,22,,0.3,,PDO_FEEDBACK
6.476,1346924.973,1844222.093,-0.053,0.015,1744843187.631,22,,0.3,,GPS_FRAME
6.486,1346924.800,1844222.240,-0.053,0.015,1744843187.642,22,,0.3,,RELATIVE_FRAME
6.621,1346924.800,1844222.240,-0.053,0.015,1744843187.642,22,,0.3,,PDO_FEEDBACK
6.871,1346924.800,1844222.240,-0.053,0.015,1744843187.642,22,,0.3,,PDO_FEEDBACK
6.880,1346924.800,1844222.240,-0.056,0.007,1744843188.035,22,,0.3,,GPS_FRAME
6.893,1346924.800,1844222.240,-0.056,0.007,1744843188.048,22,,0.3,,RELATIVE_FRAME
7.121,1346924.800,1844222.240,-0.056,0.007,1744843188.048,22,,0.3,,PDO_FEEDBACK
7.283,1346924.800,1844222.240,-0.060,0.016,1744843188.439,22,,0.3,,GPS_FRAME
7.296,1346924.800,1844222.240,-0.060,0.016,1744843188.451,22,,0.3,,RELATIVE_FRAME
7.371,1346924.800,1844222.240,-0.060,0.016,1744843188.451,22,,0.3,,PDO_FEEDBACK
7.620,1346924.800,1844222.240,-0.060,0.016,1744843188.451,22,,0.3,,PDO_FEEDBACK
7.675,1346924.800,1844222.240,-0.056,0.008,1744843188.831,22,,0.3,,GPS_FRAME
7.684,1346924.480,1844222.240,-0.056,0.008,1744843188.839,22,,0.3,,RELATIVE_FRAME
7.871,1346924.480,1844222.240,-0.056,0.008,1744843188.839,22,,0.3,,PDO_FEEDBACK
8.083,1346924.480,1844222.240,-0.053,-0.001,1744843189.238,22,,0.3,,GPS_FRAME
8.093,1346924.320,1844222.080,-0.053,-0.001,1744843189.248,22,,0.3,,RELATIVE_FRAME
8.121,1346924.320,1844222.080,-0.053,-0.001,1744843189.248,22,,0.3,,PDO_FEEDBACK
8.371,1346924.320,1844222.080,-0.053,-0.001,1744843189.248,22,,0.3,,PDO_FEEDBACK
8.480,1346924.320,1844222.080,-0.033,0.000,1744843189.635,22,,0.3,,GPS_FRAME
8.489,1346924.320,1844222.080,-0.033,0.000,1744843189.644,22,,0.3,,RELATIVE_FRAME
8.620,1346924.320,1844222.080,-0.033,0.000,1744843189.644,22,,0.3,,PDO_FEEDBACK
8.873,1346924.320,1844222.080,-0.033,0.000,1744843189.644,22,,0.3,,PDO_FEEDBACK
8.881,1346924.320,1844222.080,0.000,0.009,1744843190.036,22,,0.3,,GPS_FRAME
8.895,1346924.320,1844222.080,0.000,0.009,1744843190.050,22,,0.3,,RELATIVE_FRAME
9.121,1346924.320,1844222.080,0.000,0.009,1744843190.050,22,,0.3,,PDO_FEEDBACK
9.288,1346924.320,1844222.080,-0.013,0.015,1744843190.443,22,,0.3,,GPS_FRAME
9.306,1346924.320,1844222.093,-0.013,0.015,1744843190.462,22,,0.3,,RELATIVE_FRAME
