time_sec,x,y,vx,vy,sampling_time_sec,actuator_id,command,actuator_position_mm,actuator_speed_mms,event_type
0.031,,,,,,1570,,,,CAN_SEND
0.233,,,,,,1572,,,,CAN_SEND
0.436,,,,,,1574,,,,CAN_SEND
0.639,,,,,,0,,,,CAN_SEND
0.842,,,,,,0,,,,CAN_SEND
1.044,,,,,,0,,,,CAN_SEND
1.247,,,,,,546,,,,CAN_SEND
1.449,,,,,,548,,,,CAN_SEND
1.651,,,,,,550,,,,CAN_SEND
1.903,,,,,,22,,0.0,,PDO_FEEDBACK
1.969,,,,,,22,,0.0,,PDO_FEEDBACK
2.025,,,,,,22,,0.0,,PDO_FEEDBACK
2.073,,,,,,22,,0.0,,PDO_FEEDBACK
2.143,,,,,,22,,0.0,,PDO_FEEDBACK
2.216,,,-0.023,-0.048,1744844952.829,22,,0.0,,GPS_FRAME
2.230,1346915.680,1844213.613,-0.023,-0.048,1744844952.829,22,,0.0,,INITIAL_POSITION
2.393,1346915.680,1844213.613,-0.023,-0.048,1744844952.829,22,,0.0,,PDO_FEEDBACK
2.623,1346915.680,1844213.613,-0.007,-0.041,1744844953.235,22,,0.0,,GPS_FRAME
2.634,1346915.680,1844213.760,-0.007,-0.041,1744844953.247,22,,0.0,,RELATIVE_FRAME
2.643,1346915.680,1844213.760,-0.007,-0.041,1744844953.247,22,,0.0,,PDO_FEEDBACK
2.892,1346915.680,1844213.760,-0.007,-0.041,1744844953.247,22,,0.0,,PDO_FEEDBACK
3.018,1346915.680,1844213.760,-0.013,-0.042,1744844953.630,22,,0.0,,GPS_FRAME
3.030,1346915.680,1844213.760,-0.013,-0.042,1744844953.642,22,,0.0,,RELATIVE_FRAME
3.143,1346915.680,1844213.760,-0.013,-0.042,1744844953.642,22,,0.0,,PDO_FEEDBACK
3.394,1346915.680,1844213.760,-0.013,-0.042,1744844953.642,22,,0.0,,PDO_FEEDBACK
3.419,1346915.680,1844213.760,-0.006,-0.034,1744844954.032,22,,0.0,,GPS_FRAME
3.431,1346915.520,1844213.613,-0.006,-0.034,1744844954.044,22,,0.0,,RELATIVE_FRAME
3.642,1346915.520,1844213.613,-0.006,-0.034,1744844954.044,22,,0.0,,PDO_FEEDBACK
3.821,1346915.520,1844213.613,-0.005,-0.028,1744844954.434,22,,0.0,,GPS_FRAME
3.835,1346915.680,1844213.613,-0.005,-0.028,1744844954.448,22,,0.0,,RELATIVE_FRAME
3.893,1346915.680,1844213.613,-0.005,-0.028,1744844954.448,22,,0.0,,PDO_FEEDBACK
4.143,1346915.680,1844213.613,-0.005,-0.028,1744844954.448,22,,0.0,,PDO_FEEDBACK
4.216,1346915.680,1844213.613,-0.002,-0.021,1744844954.829,22,,0.0,,GPS_FRAME
4.225,1346915.680,1844213.760,-0.002,-0.021,1744844954.838,22,,0.0,,RELATIVE_FRAME
4.392,1346915.680,1844213.760,-0.002,-0.021,1744844954.838,22,,0.0,,PDO_FEEDBACK
4.621,1346915.680,1844213.760,-0.013,-0.033,1744844955.233,22,,0.0,,GPS_FRAME
4.632,1346915.520,1844213.760,-0.013,-0.033,1744844955.244,22,,0.0,,RELATIVE_FRAME
4.643,1346915.520,1844213.760,-0.013,-0.033,1744844955.244,22,,0.0,,PDO_FEEDBACK
4.892,1346915.520,1844213.760,-0.013,-0.033,1744844955.244,22,,0.0,,PDO_FEEDBACK
5.014,1346915.520,1844213.760,0.003,-0.026,1744844955.627,22,,0.0,,GPS_FRAME
5.027,1346915.520,1844213.613,0.003,-0.026,1744844955.640,22,,0.0,,RELATIVE_FRAME
5.142,1346915.520,1844213.613,0.003,-0.026,1744844955.640,22,,0.0,,PDO_FEEDBACK
5.392,1346915.520,1844213.613,0.003,-0.026,1744844955.640,22,,0.0,,PDO_FEEDBACK
5.420,1346915.520,1844213.613,-0.030,-0.031,1744844956.033,22,,0.0,,GPS_FRAME
5.432,1346915.213,1844213.760,-0.030,-0.031,1744844956.044,22,,0.0,,RELATIVE_FRAME
5.642,1346915.213,1844213.760,-0.030,-0.031,1744844956.044,22,,0.0,,PDO_FEEDBACK
5.819,1346915.213,1844213.760,-0.042,-0.034,1744844956.432,22,,0.0,,GPS_FRAME
5.831,1346915.040,1844213.613,-0.042,-0.034,1744844956.444,22,,0.0,,RELATIVE_FRAME
5.892,1346915.040,1844213.613,-0.042,-0.034,1744844956.444,22,,0.0,,PDO_FEEDBACK
6.143,1346915.040,1844213.613,-0.042,-0.034,1744844956.444,22,,0.0,,PDO_FEEDBACK
6.214,1346915.040,1844213.613,-0.025,-0.012,1744844956.827,22,,0.0,,GPS_FRAME
6.229,1346915.040,1844213.920,-0.025,-0.012,1744844956.842,22,,0.0,,RELATIVE_FRAME
6.392,1346915.040,1844213.920,-0.025,-0.012,1744844956.842,22,,0.0,,PDO_FEEDBACK
6.620,1346915.040,1844213.920,-0.042,-0.028,1744844957.233,22,,0.0,,GPS_FRAME
6.629,1346914.720,1844213.920,-0.042,-0.028,1744844957.242,22,,0.0,,RELATIVE_FRAME
6.642,1346914.720,1844213.920,-0.042,-0.028,1744844957.242,22,,0.0,,PDO_FEEDBACK
6.892,1346914.720,1844213.920,-0.042,-0.028,1744844957.242,22,,0.0,,PDO_FEEDBACK
7.015,1346914.720,1844213.920,-0.016,-0.033,1744844957.628,22,,0.0,,GPS_FRAME
7.029,1346914.720,1844213.920,-0.016,-0.033,1744844957.642,22,,0.0,,RELATIVE_FRAME
7.142,1346914.720,1844213.920,-0.016,-0.033,1744844957.642,22,,0.0,,PDO_FEEDBACK
7.392,1346914.720,1844213.920,-0.016,-0.033,1744844957.642,22,,0.0,,PDO_FEEDBACK
7.419,1346914.720,1844213.920,-0.035,-0.043,1744844958.032,22,,0.0,,GPS_FRAME
7.430,1346914.573,1844213.920,-0.035,-0.043,1744844958.042,22,,0.0,,RELATIVE_FRAME
7.642,1346914.573,1844213.920,-0.035,-0.043,1744844958.042,22,,0.0,,PDO_FEEDBACK
7.821,1346914.573,1844213.920,-0.053,-0.050,1744844958.433,22,,0.0,,GPS_FRAME
7.832,1346914.560,1844213.920,-0.053,-0.050,1744844958.445,22,,0.0,,RELATIVE_FRAME
7.892,1346914.560,1844213.920,-0.053,-0.050,1744844958.445,22,,0.0,,PDO_FEEDBACK
8.142,1346914.560,1844213.920,-0.053,-0.050,1744844958.445,22,,0.0,,PDO_FEEDBACK
8.214,1346914.560,1844213.920,-0.051,-0.053,1744844958.827,22,,0.0,,GPS_FRAME
8.227,1346914.560,1844213.920,-0.051,-0.053,1744844958.840,22,,0.0,,RELATIVE_FRAME
8.392,1346914.560,1844213.920,-0.051,-0.053,1744844958.840,22,,0.0,,PDO_FEEDBACK
8.622,1346914.560,1844213.920,-0.075,-0.064,1744844959.235,22,,0.0,,GPS_FRAME
8.635,1346914.240,1844214.080,-0.075,-0.064,1744844959.248,22,,0.0,,RELATIVE_FRAME
8.642,1346914.240,1844214.080,-0.075,-0.064,1744844959.248,22,,0.0,,PDO_FEEDBACK
8.892,1346914.240,1844214.080,-0.075,-0.064,1744844959.248,22,,0.0,,PDO_FEEDBACK
9.017,1346914.240,1844214.080,-0.080,-0.076,1744844959.629,22,,0.0,,GPS_FRAME
9.029,1346914.240,1844213.920,-0.080,-0.076,1744844959.642,22,,0.0,,RELATIVE_FRAME
9.142,1346914.240,1844213.920,-0.080,-0.076,1744844959.642,22,,0.0,,PDO_FEEDBACK
9.393,1346914.240,1844213.920,-0.080,-0.076,1744844959.642,22,,0.0,,PDO_FEEDBACK
9.419,1346914.240,1844213.920,-0.087,-0.065,1744844960.032,22,,0.0,,GPS_FRAME
9.435,1346913.933,1844213.920,-0.087,-0.065,1744844960.047,22,,0.0,,RELATIVE_FRAME
9.642,1346913.933,1844213.920,-0.087,-0.065,1744844960.047,22,,0.0,,PDO_FEEDBACK
9.818,1346913.933,1844213.920,-0.060,-0.042,1744844960.431,22,,0.0,,GPS_FRAME
9.830,1346913.933,1844213.920,-0.060,-0.042,1744844960.443,22,,0.0,,RELATIVE_FRAME
9.891,1346913.933,1844213.920,-0.060,-0.042,1744844960.443,22,,0.0,,PDO_FEEDBACK
10.142,1346913.933,1844213.920,-0.060,-0.042,1744844960.443,22,,0.0,,PDO_FEEDBACK
10.216,1346913.933,1844213.920,-0.046,-0.001,1744844960.828,22,,0.0,,GPS_FRAME
10.227,1346913.933,1844213.920,-0.046,-0.001,1744844960.840,22,,0.0,,RELATIVE_FRAME
10.391,1346913.933,1844213.920,-0.046,-0.001,1744844960.840,22,,0.0,,PDO_FEEDBACK
10.619,1346913.933,1844213.920,-0.030,-0.004,1744844961.232,22,,0.0,,GPS_FRAME
10.632,1346913.920,1844214.080,-0.030,-0.004,1744844961.245,22,,0.0,,RELATIVE_FRAME
10.643,1346913.920,1844214.080,-0.030,-0.004,1744844961.245,22,,0.0,,PDO_FEEDBACK
10.891,1346913.920,1844214.080,-0.030,-0.004,1744844961.245,22,,0.0,,PDO_FEEDBACK
11.016,1346913.920,1844214.080,-0.036,0.009,1744844961.628,22,,0.0,,GPS_FRAME
11.028,1346913.760,1844214.080,-0.036,0.009,1744844961.640,22,,0.0,,RELATIVE_FRAME
11.141,1346913.760,1844214.080,-0.036,0.009,1744844961.640,22,,0.0,,PDO_FEEDBACK
11.391,1346913.760,1844214.080,-0.036,0.009,1744844961.640,22,,0.0,,PDO_FEEDBACK
11.421,1346913.760,1844214.080,-0.003,0.033,1744844962.033,22,,0.0,,GPS_FRAME
11.435,1346913.760,1844213.920,-0.003,0.033,1744844962.047,22,,0.0,,RELATIVE_FRAME
11.643,1346913.760,1844213.920,-0.003,0.033,1744844962.047,22,,0.0,,PDO_FEEDBACK
11.818,1346913.760,1844213.920,-0.007,0.034,1744844962.431,22,,0.0,,GPS_FRAME
11.827,1346913.760,1844214.093,-0.007,0.034,1744844962.439,22,,0.0,,RELATIVE_FRAME
11.897,1346913.760,1844214.093,-0.007,0.034,1744844962.439,22,,0.0,,PDO_FEEDBACK
12.141,1346913.760,1844214.093,-0.007,0.034,1744844962.439,22,,0.0,,PDO_FEEDBACK
12.217,1346913.760,1844214.093,0.002,0.039,1744844962.829,22,,0.0,,GPS_FRAME
12.227,1346913.760,1844214.080,0.002,0.039,1744844962.839,22,,0.0,,RELATIVE_FRAME
12.392,1346913.760,1844214.080,0.002,0.039,1744844962.839,22,,0.0,,PDO_FEEDBACK
12.621,1346913.760,1844214.080,0.024,0.040,1744844963.234,22,,0.0,,GPS_FRAME
12.633,1346913.760,1844214.080,0.024,0.040,1744844963.245,22,,0.0,,RELATIVE_FRAME
12.641,1346913.760,1844214.080,0.024,0.040,1744844963.245,22,,0.0,,PDO_FEEDBACK
12.891,1346913.760,1844214.080,0.024,0.040,1744844963.245,22,,0.0,,PDO_FEEDBACK
13.016,1346913.760,1844214.080,0.045,0.048,1744844963.628,22,,0.0,,GPS_FRAME
13.029,1346913.760,1844213.920,0.045,0.048,1744844963.642,22,,0.0,,RELATIVE_FRAME
13.141,1346913.760,1844213.920,0.045,0.048,1744844963.642,22,,0.0,,PDO_FEEDBACK
13.391,1346913.760,1844213.920,0.045,0.048,1744844963.642,22,,0.0,,PDO_FEEDBACK
13.422,1346913.760,1844213.920,0.051,0.057,1744844964.035,22,,0.0,,GPS_FRAME
13.435,1346913.920,1844214.093,0.051,0.057,1744844964.048,22,,0.0,,RELATIVE_FRAME
13.641,1346913.920,1844214.093,0.051,0.057,1744844964.048,22,,0.0,,PDO_FEEDBACK
13.820,1346913.920,1844214.093,0.075,0.053,1744844964.433,22,,0.0,,GPS_FRAME
13.829,1346913.920,1844214.080,0.075,0.053,1744844964.442,22,,0.0,,RELATIVE_FRAME
13.892,1346913.920,1844214.080,0.075,0.053,1744844964.442,22,,0.0,,PDO_FEEDBACK
14.141,1346913.920,1844214.080,0.075,0.053,1744844964.442,22,,0.0,,PDO_FEEDBACK
14.215,1346913.920,1844214.080,0.094,0.054,1744844964.827,22,,0.0,,GPS_FRAME
14.228,1346914.720,1844214.080,0.094,0.054,1744844964.841,22,,0.0,,RELATIVE_FRAME
14.391,1346914.720,1844214.080,0.094,0.054,1744844964.841,22,,0.0,,PDO_FEEDBACK
14.622,1346914.720,1844214.080,0.119,0.049,1744844965.235,22,,0.0,,GPS_FRAME
14.633,1346915.213,1844214.240,0.119,0.049,1744844965.246,22,,0.0,,RELATIVE_FRAME
14.641,1346915.213,1844214.240,0.119,0.049,1744844965.246,22,,0.0,,PDO_FEEDBACK
14.891,1346915.213,1844214.240,0.119,0.049,1744844965.246,22,,0.0,,PDO_FEEDBACK
15.018,1346915.213,1844214.240,0.139,0.044,1744844965.630,22,,0.0,,GPS_FRAME
15.029,1346915.520,1844214.240,0.139,0.044,1744844965.642,22,,0.0,,RELATIVE_FRAME
