time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.967,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 130, 236, 0, 0, 0, 0]",,,,,,
0.969,,,,,,,,,,,,,,,,,,,,,0x18b,"[3, 0, 128, 5, 0, 0, 1, 0]",,,,,,
0.972,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
0.984,,,,,,,,,,,,,,,,,,,,,0x0,"[128, 16]",,,,,,
0.987,,,,,,,,,,,,,,,,,,,,,0x18c,"[3, 0, 141, 5, 0, 0, 4, 0]",,,,,,
1.000,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.003,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.006,,,,,,,,,,,,,,,,,,,,,0x70f,"[5, 158, 32, 49, 0, 49, 50, 51]",,,,,,
1.009,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.013,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.020,,,,,,,,,,,,,,,,,,,,,0x23a,"[194, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.027,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.031,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.034,,,,,,,,,,,,,,,,,,,,,0x0,"[128, 17]",,,,,,
1.040,,,,,,,,,,,,,,,,,,,,,0x18ef7300,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,
1.042,,,,,,,,,,,,,,,,,,,,,0x701,[5],,,,,,
1.052,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.054,,,,,,,,,,,,,,,,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.056,,,,,,,,,,,,,,,,,,,,,0x80,[],,,,,,
1.059,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.061,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.062,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.064,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.070,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.074,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.076,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.078,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.079,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.096,,,,,,,,,,,,,,,,,,,,,0x23a,"[226, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.097,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.101,,,,,,,,,,,,,,,,,0.000,0.000,-0.008,0.004,,,,,,,,
