time_sec,event_type,x,y,vx,vy,sampling_time_sec,actuator_id,command,pdo_position_mm,pdo_speed_mms
0.035,CAN_SEND,,,,,1744909631.658339,1570,SDO/NMT/CLR,,
0.237,CAN_SEND,,,,,1744909631.860211,0,SDO/NMT/CLR,,
0.438,CAN_SEND,,,,,1744909632.061829,546,SDO/NMT/CLR,,
0.716,PDO_FEEDBACK,,,,,1744909632.339046,546,SDO/NMT/CLR,0.0,0.0
0.767,PDO_FEEDBACK,,,,,1744909632.390428,546,SDO/NMT/CLR,0.0,0.0
0.802,GPS_FRAME,,,-0.213,0.077,1744909632.425084,546,SDO/NMT/CLR,0.0,0.0
0.815,REL_POS_FRAME,1346936.320,1844232.480,-0.213,0.077,1744909632.438556,546,SDO/NMT/CLR,0.0,0.0
0.833,PDO_FEEDBACK,1346936.320,1844232.480,-0.213,0.077,1744909632.456464,546,SDO/NMT/CLR,0.0,0.0
0.989,PDO_FEEDBACK,1346936.320,1844232.480,-0.213,0.077,1744909632.612428,546,SDO/NMT/CLR,0.0,0.0
1.200,GPS_FRAME,1346936.320,1844232.480,-0.190,0.070,1744909632.823730,546,SDO/NMT/CLR,0.0,0.0
1.211,REL_POS_FRAME,1346936.160,1844232.480,-0.190,0.070,1744909632.834750,546,SDO/NMT/CLR,0.0,0.0
1.239,PDO_FEEDBACK,1346936.160,1844232.480,-0.190,0.070,1744909632.862299,546,SDO/NMT/CLR,0.0,0.0
1.489,PDO_FEEDBACK,1346936.160,1844232.480,-0.190,0.070,1744909633.112282,546,SDO/NMT/CLR,0.0,0.0
1.604,GPS_FRAME,1346936.160,1844232.480,0.017,0.158,1744909633.227238,546,SDO/NMT/CLR,0.0,0.0
1.613,REL_POS_FRAME,1346936.333,1844232.320,0.017,0.158,1744909633.236810,546,SDO/NMT/CLR,0.0,0.0
1.739,PDO_FEEDBACK,1346936.333,1844232.320,0.017,0.158,1744909633.362053,546,SDO/NMT/CLR,0.0,0.0
1.989,PDO_FEEDBACK,1346936.333,1844232.320,0.017,0.158,1744909633.612254,546,SDO/NMT/CLR,0.0,0.0
2.001,GPS_FRAME,1346936.333,1844232.320,0.069,0.131,1744909633.624612,546,SDO/NMT/CLR,0.0,0.0
2.012,REL_POS_FRAME,1346936.480,1844232.160,0.069,0.131,1744909633.634952,546,SDO/NMT/CLR,0.0,0.0
2.239,PDO_FEEDBACK,1346936.480,1844232.160,0.069,0.131,1744909633.862411,546,SDO/NMT/CLR,0.0,0.0
2.405,GPS_FRAME,1346936.480,1844232.160,0.053,0.168,1744909634.027978,546,SDO/NMT/CLR,0.0,0.0
2.412,REL_POS_FRAME,1346936.333,1844231.853,0.053,0.168,1744909634.035164,546,SDO/NMT/CLR,0.0,0.0
2.489,PDO_FEEDBACK,1346936.333,1844231.853,0.053,0.168,1744909634.112142,546,SDO/NMT/CLR,0.0,0.0
2.738,PDO_FEEDBACK,1346936.333,1844231.853,0.053,0.168,1744909634.361777,546,SDO/NMT/CLR,0.0,0.0
2.799,GPS_FRAME,1346936.333,1844231.853,-0.017,0.087,1744909634.422879,546,SDO/NMT/CLR,0.0,0.0
2.812,REL_POS_FRAME,1346936.320,1844231.853,-0.017,0.087,1744909634.435162,546,SDO/NMT/CLR,0.0,0.0
2.989,PDO_FEEDBACK,1346936.320,1844231.853,-0.017,0.087,1744909634.612575,546,SDO/NMT/CLR,0.0,0.0
3.200,GPS_FRAME,1346936.320,1844231.853,0.030,0.064,1744909634.823540,546,SDO/NMT/CLR,0.0,0.0
3.215,REL_POS_FRAME,1346936.333,1844231.853,0.030,0.064,1744909634.838151,546,SDO/NMT/CLR,0.0,0.0
3.238,PDO_FEEDBACK,1346936.333,1844231.853,0.030,0.064,1744909634.861866,546,SDO/NMT/CLR,0.0,0.0
3.491,PDO_FEEDBACK,1346936.333,1844231.853,0.030,0.064,1744909635.114677,546,SDO/NMT/CLR,0.0,0.0
3.604,GPS_FRAME,1346936.333,1844231.853,0.003,0.075,1744909635.227107,546,SDO/NMT/CLR,0.0,0.0
3.614,REL_POS_FRAME,1346936.480,1844231.693,0.003,0.075,1744909635.237779,546,SDO/NMT/CLR,0.0,0.0
3.738,PDO_FEEDBACK,1346936.480,1844231.693,0.003,0.075,1744909635.361758,546,SDO/NMT/CLR,0.0,0.0
3.989,PDO_FEEDBACK,1346936.480,1844231.693,0.003,0.075,1744909635.612061,546,SDO/NMT/CLR,0.0,0.0
4.002,GPS_FRAME,1346936.480,1844231.693,0.114,0.076,1744909635.625704,546,SDO/NMT/CLR,0.0,0.0
4.016,REL_POS_FRAME,1346936.800,1844231.693,0.114,0.076,1744909635.639632,546,SDO/NMT/CLR,0.0,0.0
4.239,PDO_FEEDBACK,1346936.800,1844231.693,0.114,0.076,1744909635.862774,546,SDO/NMT/CLR,0.0,0.0
