time_sec,command,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy
0.030,NMT_START_ALL,,,,,,,,,,,,,,,,,,,,
0.133,SET_MODE_22,,,,,,,,,,,,,,,,,,,,
0.185,ENABLE_22,,,,,,,,,,,,,,,,,,,,
0.237,SET_MODE_24,,,,,,,,,,,,,,,,,,,,
0.289,ENABLE_24,,,,,,,,,,,,,,,,,,,,
0.341,SET_MODE_26,,,,,,,,,,,,,,,,,,,,
0.393,ENABLE_26,,,,,,,,,,,,,,,,,,,,
0.445,INIT,,,,,,,,,,,,,,,,,,,,
0.547,INIT,,,,,,,,,,,,,,,,,,,,
0.649,INIT,,,,,,,,,,,,,,,,,,,,
1.011,CLOSE_22,,,,,,,,,,,,,,,,,,,,
1.513,CLOSE_24,,,,,,,,,,,,,,,,,,,,
2.016,CLOSE_26,,,,,,,,,,,,,,,,,,,,
2.519,OPEN_22,,,,,,,,,,,,,,,,,,,,
3.023,OPEN_24,,,,,,,,,,,,,,,,,,,,
3.526,OPEN_26,,,,,,,,,,,,,,,,,,,,
4.028,,-2.129,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",0.000,0.000,0.000,0,0,0,3.600,-0.900,0.000,0.000,0.008,-0.005
4.030,OPEN_22,,,,,,,,,,,,,,,,,,,,
4.533,OPEN_24,,,,,,,,,,,,,,,,,,,,
5.038,OPEN_26,,,,,,,,,,,,,,,,,,,,
5.540,CLOSE_22,,,,,,,,,,,,,,,,,,,,
6.043,CLOSE_24,,,,,,,,,,,,,,,,,,,,
6.549,CLOSE_26,,,,,,,,,,,,,,,,,,,,
7.055,,-2.129,-0.000,"[1, 1, 0, 0, 1]","[1, 0, 1, 1, 1]","[1, 0, 0, 0, 1]","[1, 0, -1, 0, 1]","[1, -1, 1, 0, 0]","[1, -1, 0, 0, 1]",3.048,3.048,3.048,1,1,1,3.600,-0.900,0.000,0.000,0.008,-0.005
7.060,OPEN_22,,,,,,,,,,,,,,,,,,,,
7.562,CLOSE_22,,,,,,,,,,,,,,,,,,,,
8.065,CLOSE_24,,,,,,,,,,,,,,,,,,,,
8.568,CLOSE_26,,,,,,,,,,,,,,,,,,,,
