time_sec,command,x,y,vx,vy,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.041,SDO_COMMAND,0.0,0.000,0.000,0.000,,,,,,
0.243,SDO_COMMAND,0.0,0.000,0.000,0.000,,,,,,
0.445,SDO_COMMAND,0.0,0.000,0.000,0.000,,,,,,
0.649,NMT_START_22,0.0,0.000,0.000,0.000,,,,,,
0.751,NMT_START_24,0.0,0.000,0.000,0.000,,,,,,
0.854,NMT_START_26,0.0,0.000,0.000,0.000,,,,,,
0.957,CLEAR_ERROR,0.0,0.000,0.000,0.000,,,,,,
1.159,CLEAR_ERROR,0.0,0.000,0.000,0.000,,,,,,
1.362,CLEAR_ERROR,0.0,0.000,0.000,0.000,,,,,,
1.781,OPEN_22,0.0,0.000,-0.005,0.001,,,,,,
1.984,OPEN_26,0.0,0.000,-0.005,0.001,,,,,,
24.989,CLOSE_24,-0.0138000000000007,-1.101,-0.082,-0.814,,,,,,
29.377,CLOSE_22,0.08019999999999872,-4.592,0.082,-0.771,,,,,,
29.585,CLOSE_24,0.08019999999999872,-4.592,0.082,-0.771,,,,,,
29.794,CLOSE_26,0.08019999999999872,-4.592,0.082,-0.771,,,,,,
30.027,OPEN_22,0.08419999999999916,-4.892,-0.010,-0.719,,,,,,
30.238,OPEN_26,0.08419999999999916,-4.892,-0.010,-0.719,,,,,,
34.167,CLOSE_24,0.15949999999999864,-8.339,0.036,-0.822,,,,,,
34.572,OPEN_22,0.16309999999999913,-8.642,0.041,-0.773,,,,,,
39.001,OPEN_22,0.2170999999999994,-12.080,-0.028,-0.775,,,,,,
39.207,CLOSE_24,0.2170999999999994,-12.080,-0.028,-0.775,,,,,,
39.412,CLOSE_26,0.2170999999999994,-12.080,-0.028,-0.775,,,,,,
43.780,OPEN_22,0.26509999999999945,-15.833,-0.011,-0.776,,,,,,
43.988,CLOSE_24,0.26509999999999945,-15.833,-0.011,-0.776,,,,,,
44.193,CLOSE_26,0.26509999999999945,-15.833,-0.011,-0.776,,,,,,
48.176,CLOSE_24,0.3147999999999991,-19.296,0.037,-0.802,,,,,,
48.379,CLOSE_26,0.3147999999999991,-19.296,0.037,-0.802,,,,,,
52.976,CLOSE_22,0.36079999999999934,-23.037,-0.031,-0.835,,,,,,
53.184,OPEN_22,0.36079999999999934,-23.037,-0.031,-0.835,,,,,,
53.387,CLOSE_24,0.36079999999999934,-23.037,-0.031,-0.835,,,,,,
53.594,CLOSE_26,0.36079999999999934,-23.037,-0.031,-0.835,,,,,,
53.798,OPEN_26,0.36079999999999934,-23.037,-0.031,-0.835,,,,,,
57.778,CLOSE_24,0.42019999999999946,-26.785,0.013,-0.785,,,,,,
