time_sec,x,y,vx,vy,command,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.023,,,,,INIT,,,,,,
0.126,,,,,INIT,,,,,,
0.228,,,,,INIT,,,,,,
0.331,,,,,INIT,,,,,,
0.433,,,,,INIT,,,,,,
0.536,,,,,INIT,,,,,,
0.639,,,,,INIT,,,,,,
0.741,,,,,INIT,,,,,,
0.843,,,,,INIT,,,,,,
1.097,,,0.124,-0.066,INIT,,,,,,
1.207,,,0.124,-0.066,close,,,,,,
1.209,,,0.124,-0.066,close,,,,,,
1.211,,,0.124,-0.066,close,,,,,,
1.213,,,0.124,-0.066,open,,,,,,
1.216,,,0.124,-0.066,open,,,,,,
1.220,,,0.124,-0.066,open,,,,,,
1.233,0.000,0.000,0.124,-0.066,open,,,,,,
1.500,0.000,0.000,0.129,-0.051,open,,,,,,
1.508,0.320,-0.173,0.129,-0.051,open,,,,,,
1.896,0.320,-0.173,0.150,-0.084,open,,,,,,
1.906,0.480,-0.640,0.150,-0.084,open,,,,,,
2.302,0.480,-0.640,0.169,-0.120,open,,,,,,
2.315,0.800,-0.813,0.169,-0.120,open,,,,,,
2.695,0.800,-0.813,0.168,-0.110,open,,,,,,
2.705,0.973,-0.973,0.168,-0.110,open,,,,,,
3.095,0.973,-0.973,0.178,-0.084,open,,,,,,
3.104,0.973,-1.293,0.178,-0.084,open,,,,,,
3.501,0.973,-1.293,0.254,-0.057,open,,,,,,
3.510,1.280,-1.600,0.254,-0.057,open,,,,,,
3.896,1.280,-1.600,0.236,-0.094,open,,,,,,
3.909,1.280,-2.240,0.236,-0.094,open,,,,,,
4.300,1.280,-2.240,0.209,-0.074,open,,,,,,
4.310,1.280,-2.240,0.209,-0.074,open,,,,,,
4.696,1.280,-2.240,0.150,-0.069,open,,,,,,
4.705,1.120,-2.240,0.150,-0.069,open,,,,,,
5.098,1.120,-2.240,0.116,-0.060,open,,,,,,
5.109,1.120,-2.240,0.116,-0.060,open,,,,,,
5.500,1.120,-2.240,0.114,-0.057,open,,,,,,
5.512,0.973,-2.413,0.114,-0.057,open,,,,,,
5.896,0.973,-2.413,0.119,-0.044,open,,,,,,
5.906,1.280,-2.413,0.119,-0.044,open,,,,,,
6.300,1.280,-2.413,0.142,-0.014,open,,,,,,
6.314,1.280,-2.573,0.142,-0.014,open,,,,,,
6.696,1.280,-2.573,0.153,-0.009,open,,,,,,
6.704,1.280,-2.880,0.153,-0.009,open,,,,,,
7.096,1.280,-2.880,0.159,0.024,open,,,,,,
7.106,1.453,-2.720,0.159,0.024,open,,,,,,
7.500,1.453,-2.720,0.167,0.050,open,,,,,,
7.512,1.453,-2.720,0.167,0.050,open,,,,,,
7.897,1.453,-2.720,0.128,0.029,open,,,,,,
7.907,1.280,-2.880,0.128,0.029,open,,,,,,
8.301,1.280,-2.880,0.092,0.050,open,,,,,,
8.314,0.973,-2.880,0.092,0.050,open,,,,,,
8.696,0.973,-2.880,0.064,0.071,open,,,,,,
8.705,0.973,-2.880,0.064,0.071,open,,,,,,
9.097,0.973,-2.880,0.002,-0.007,open,,,,,,
9.107,0.800,-2.880,0.002,-0.007,open,,,,,,
9.503,0.800,-2.880,-0.026,-0.071,open,,,,,,
9.512,0.800,-2.720,-0.026,-0.071,open,,,,,,
9.896,0.800,-2.720,-0.045,-0.023,open,,,,,,
9.908,0.480,-2.720,-0.045,-0.023,open,,,,,,
10.300,0.480,-2.720,-0.012,0.055,open,,,,,,
10.308,0.333,-2.880,-0.012,0.055,open,,,,,,
10.696,0.333,-2.880,0.013,0.014,open,,,,,,
10.706,0.160,-2.893,0.013,0.014,open,,,,,,
11.097,0.160,-2.893,0.055,0.054,open,,,,,,
11.108,0.160,-2.720,0.055,0.054,open,,,,,,
11.501,0.160,-2.720,0.031,0.010,open,,,,,,
11.512,0.000,-2.720,0.031,0.010,open,,,,,,
11.896,0.000,-2.720,0.018,-0.011,open,,,,,,
11.907,-0.307,-2.880,0.018,-0.011,open,,,,,,
12.300,-0.307,-2.880,-0.020,0.049,open,,,,,,
12.310,-0.480,-2.880,-0.020,0.049,open,,,,,,
12.697,-0.480,-2.880,0.029,-0.012,open,,,,,,
12.709,-0.480,-2.893,0.029,-0.012,open,,,,,,
13.097,-0.480,-2.893,0.044,-0.091,open,,,,,,
13.108,-0.787,-3.213,0.044,-0.091,open,,,,,,
13.500,-0.787,-3.213,0.048,-0.086,open,,,,,,
13.511,-0.787,-3.213,0.048,-0.086,open,,,,,,
13.896,-0.787,-3.213,-0.005,-0.070,open,,,,,,
