time_sec,command,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26,lookahead1,lookahead2
0.043,INIT,,,,,,,,,,,,,,
0.149,INIT,,,,,,,,,,,,,,
0.252,INIT,,,,,,,,,,,,,,
0.355,INIT,,,,,,,,,,,,,,
0.457,INIT,,,,,,,,,,,,,,
0.559,INIT,,,,,,,,,,,,,,
0.661,INIT,,,,,,,,,,,,,,
0.763,INIT,,,,,,,,,,,,,,
0.865,INIT,,,,,,,,,,,,,,
1.005,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.009,,,,,,0x70a,[5],,,,,,,,
1.011,,,,,,0x18f,"[74, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.015,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.020,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.022,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 2, 0]",,,,,,,,
1.024,,,,,,0x18f,"[68, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.026,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.032,,,,,,0x0,"[128, 16]",,,,,,,,
1.035,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
1.042,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.048,,,,,,0x18f,"[65, 247, 228, 236, 0, 0, 0, 0]",,,,,,,,
1.055,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 1, 0]",,,,,,,,
1.058,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.093,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.098,,,,,,0x701,[5],,,,,,,,
1.105,,,,,,0x18f,"[71, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.107,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.119,,,,,,0x60d,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,,,
1.122,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.127,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 1, 0]",,,,,,,,
1.129,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.132,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.136,,,,,,0x23a,"[162, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.144,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.152,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.155,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.158,,,,,,0x4,"[0, 4, 0, 0, 0, 0, 0, 103]",,,,,,,,
1.163,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.168,,,,,,0x18a,"[3, 0, 136, 5, 0, 0, 2, 0]",,,,,,,,
1.174,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.183,,,,,,0x23a,"[178, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.186,,,,,,0x80,[],,,,,,,,
1.195,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.197,,,,-0.002,0.010,,,,,,,,,,
1.210,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 2, 0]",,,,,,,,
1.212,close,,,,,,,,,,,,,,
1.214,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.214,close,,,,,,,,,,,,,,
1.217,close,,,,,,,,,,,,,,
1.217,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
1.223,open,,,,,,,,,,,,,,
1.224,,,,,,,,,,,,,,2.403,-1.097
1.230,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.234,,,,,,0x23a,"[194, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.235,,,,,,,,,,,,,,2.403,-1.097
1.238,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.241,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.243,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
