time_sec,command,y,vx,vy,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.042,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.244,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.446,SDO_COMMAND,0.000,0.000,0.000,,,,,,
0.649,NMT_START_22,0.000,0.000,0.000,,,,,,
0.750,NMT_START_24,0.000,0.000,0.000,,,,,,
0.852,NMT_START_26,0.000,0.000,0.000,,,,,,
0.955,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.157,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.359,CLEAR_ERROR,0.000,0.000,0.000,,,,,,
1.581,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,,,,
1.597,PDO_FEEDBACK_26,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1.628,PDO_FEEDBACK_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.682,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.683,PDO_FEEDBACK_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.745,PDO_FEEDBACK_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.776,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.779,PDO_FEEDBACK_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.814,PDO_FEEDBACK_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.853,PDO_FEEDBACK_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.855,PDO_FEEDBACK_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.865,OPEN_22,0.000,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
1.920,PDO_FEEDBACK_24,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
1.959,PDO_FEEDBACK_22,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
1.961,PDO_FEEDBACK_26,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.000,PDO_FEEDBACK_24,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.056,PDO_FEEDBACK_22,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.060,PDO_FEEDBACK_26,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.073,OPEN_26,0.000,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.172,PDO_FEEDBACK_24,0.0,0.028,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
2.320,PDO_FEEDBACK_22,0.0,0.0,0.021,1.3,11.0,0.0,0.0,0.0,0.0
2.338,PDO_FEEDBACK_26,0.0021000000000000046,0.0,0.021,1.3,11.0,0.0,0.0,0.0,0.0
2.426,PDO_FEEDBACK_24,0.0021000000000000046,0.0,0.021,1.3,11.0,0.0,0.0,0.0,0.0
2.555,PDO_FEEDBACK_22,0.0021000000000000046,0.0,0.021,5.6,18.0,0.0,0.0,0.0,0.0
2.559,PDO_FEEDBACK_26,0.0021000000000000046,0.0,0.021,5.6,18.0,0.0,0.0,2.0,14.5
2.690,PDO_FEEDBACK_24,0.000800000000000009,-0.006,0.006,5.6,18.0,0.0,0.0,2.0,14.5
2.802,PDO_FEEDBACK_22,0.000800000000000009,-0.006,0.006,10.7,20.1,0.0,0.0,2.0,14.5
2.817,PDO_FEEDBACK_26,0.000800000000000009,-0.006,0.006,10.7,20.1,0.0,0.0,6.3,19.4
2.933,PDO_FEEDBACK_24,0.000800000000000009,-0.006,0.006,10.7,20.1,0.0,0.0,6.3,19.4
3.052,PDO_FEEDBACK_22,0.000800000000000009,-0.006,0.006,15.5,18.6,0.0,0.0,6.3,19.4
3.059,PDO_FEEDBACK_26,0.000800000000000009,0.005,-0.002,15.5,18.6,0.0,0.0,11.4,20.9
3.171,PDO_FEEDBACK_24,-0.00010000000000000286,0.005,-0.002,15.5,18.6,0.0,0.0,11.4,20.9
3.306,PDO_FEEDBACK_22,-0.00010000000000000286,0.005,-0.002,20.0,17.9,0.0,0.0,11.4,20.9
3.317,PDO_FEEDBACK_26,-0.00010000000000000286,0.005,-0.002,20.0,17.9,0.0,0.0,16.2,19.1
3.438,PDO_FEEDBACK_24,-0.00010000000000000286,0.005,-0.002,20.0,17.9,0.0,0.0,16.2,19.1
3.552,PDO_FEEDBACK_22,-0.0003999999999999976,-0.001,-0.014,24.4,18.0,0.0,0.0,16.2,19.1
3.566,PDO_FEEDBACK_26,-0.0003999999999999976,-0.001,-0.014,24.4,18.0,0.0,0.0,20.5,17.8
3.673,PDO_FEEDBACK_24,-0.0003999999999999976,-0.001,-0.014,24.4,18.0,0.0,0.0,20.5,17.8
3.807,PDO_FEEDBACK_22,-0.0003999999999999976,-0.001,-0.014,28.9,17.1,0.0,0.0,20.5,17.8
3.809,PDO_FEEDBACK_26,-0.0003999999999999976,-0.001,-0.014,28.9,17.1,0.0,0.0,25.1,17.5
3.921,PDO_FEEDBACK_24,0.0015000000000000013,-0.031,0.004,28.9,17.1,0.0,0.0,25.1,17.5
4.053,PDO_FEEDBACK_22,0.0015000000000000013,-0.031,0.004,33.0,17.3,0.0,0.0,25.1,17.5
