time_sec,event_type,x,y,vx,vy,sampling_time_sec,actuator_id,command,pdo_position_mm,pdo_speed_mms
0.028,CAN_SEND,,,,,1744852016.424832,1570,SDO/NMT/CLR,,
0.231,CAN_SEND,,,,,1744852016.627706,0,SDO/NMT/CLR,,
0.433,CAN_SEND,,,,,1744852016.830168,546,SDO/NMT/CLR,,
0.680,PDO_FEEDBACK,,,,,1744852017.076573,546,SDO/NMT/CLR,0.0,0.0
0.718,PDO_FEEDBACK,,,,,1744852017.114900,546,SDO/NMT/CLR,0.0,0.0
0.762,PDO_FEEDBACK,,,,,1744852017.159029,546,SDO/NMT/CLR,0.0,0.0
0.828,GPS_FRAME,,,0.049,0.071,1744852017.224704,546,SDO/NMT/CLR,0.0,0.0
0.836,REL_POS_FRAME,1346934.080,1844209.453,0.049,0.071,1744852017.233061,546,SDO/NMT/CLR,0.0,0.0
1.010,PDO_FEEDBACK,1346934.080,1844209.453,0.049,0.071,1744852017.406878,546,SDO/NMT/CLR,0.0,0.0
1.224,GPS_FRAME,1346934.080,1844209.453,0.024,-0.028,1744852017.621308,546,SDO/NMT/CLR,0.0,0.0
1.234,REL_POS_FRAME,1346934.080,1844209.760,0.024,-0.028,1744852017.630664,546,SDO/NMT/CLR,0.0,0.0
1.260,PDO_FEEDBACK,1346934.080,1844209.760,0.024,-0.028,1744852017.656786,546,SDO/NMT/CLR,0.0,0.0
1.511,PDO_FEEDBACK,1346934.080,1844209.760,0.024,-0.028,1744852017.907982,546,SDO/NMT/CLR,0.0,0.0
1.629,GPS_FRAME,1346934.080,1844209.760,0.104,-0.000,1744852018.025712,546,SDO/NMT/CLR,0.0,0.0
1.644,REL_POS_FRAME,1346934.080,1844209.453,0.104,-0.000,1744852018.041079,546,SDO/NMT/CLR,0.0,0.0
1.760,PDO_FEEDBACK,1346934.080,1844209.453,0.104,-0.000,1744852018.156784,546,SDO/NMT/CLR,0.0,0.0
2.012,PDO_FEEDBACK,1346934.080,1844209.453,0.104,-0.000,1744852018.409083,546,SDO/NMT/CLR,0.0,0.0
2.024,GPS_FRAME,1346934.080,1844209.453,0.149,0.117,1744852018.420933,546,SDO/NMT/CLR,0.0,0.0
2.046,REL_POS_FRAME,1346934.240,1844209.280,0.149,0.117,1744852018.443075,546,SDO/NMT/CLR,0.0,0.0
2.261,PDO_FEEDBACK,1346934.240,1844209.280,0.149,0.117,1744852018.657386,546,SDO/NMT/CLR,0.0,0.0
2.426,GPS_FRAME,1346934.240,1844209.280,0.091,0.050,1744852018.822592,546,SDO/NMT/CLR,0.0,0.0
2.434,REL_POS_FRAME,1346934.080,1844209.120,0.091,0.050,1744852018.831187,546,SDO/NMT/CLR,0.0,0.0
2.510,PDO_FEEDBACK,1346934.080,1844209.120,0.091,0.050,1744852018.906765,546,SDO/NMT/CLR,0.0,0.0
2.760,PDO_FEEDBACK,1346934.080,1844209.120,0.091,0.050,1744852019.157094,546,SDO/NMT/CLR,0.0,0.0
2.829,GPS_FRAME,1346934.080,1844209.120,0.120,0.049,1744852019.225935,546,SDO/NMT/CLR,0.0,0.0
2.845,REL_POS_FRAME,1346934.093,1844209.280,0.120,0.049,1744852019.241789,546,SDO/NMT/CLR,0.0,0.0
3.010,PDO_FEEDBACK,1346934.093,1844209.280,0.120,0.049,1744852019.406626,546,SDO/NMT/CLR,0.0,0.0
3.224,GPS_FRAME,1346934.093,1844209.280,0.102,0.174,1744852019.620548,546,SDO/NMT/CLR,0.0,0.0
3.234,REL_POS_FRAME,1346934.080,1844208.800,0.102,0.174,1744852019.631167,546,SDO/NMT/CLR,0.0,0.0
3.260,PDO_FEEDBACK,1346934.080,1844208.800,0.102,0.174,1744852019.656548,546,SDO/NMT/CLR,0.0,0.0
3.510,PDO_FEEDBACK,1346934.080,1844208.800,0.102,0.174,1744852019.907065,546,SDO/NMT/CLR,0.0,0.0
3.628,GPS_FRAME,1346934.080,1844208.800,0.017,0.164,1744852020.024628,546,SDO/NMT/CLR,0.0,0.0
