time_sec,x,y,vx,vy,command,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
0.064,,,,,INIT,,,,,,
0.166,,,,,INIT,,,,,,
0.269,,,,,INIT,,,,,,
0.371,,,,,INIT,,,,,,
0.473,,,,,INIT,,,,,,
0.575,,,,,INIT,,,,,,
0.677,,,,,INIT,,,,,,
0.783,,,,,INIT,,,,,,
0.887,,,,,INIT,,,,,,
1.365,,,-0.741,-0.055,INIT,,,,,,
1.815,,,-0.741,-0.055,close,,,,,,
1.824,,,-0.741,-0.055,close,,,,,,
1.827,,,-0.741,-0.055,close,,,,,,
1.838,,,-0.741,-0.055,open,,,,,,
1.843,,,-0.741,-0.055,open,,,,,,
1.864,0.000,0.000,-0.741,-0.055,open,,,,,,
1.872,0.000,0.000,-0.714,-0.078,open,,,,,,
1.906,-0.306,-0.028,-0.714,-0.078,open,,,,,,
2.173,-0.306,-0.028,-0.806,-0.033,open,,,,,,
2.213,-0.604,-0.046,-0.806,-0.033,open,,,,,,
2.566,-0.604,-0.046,-0.532,-0.001,open,,,,,,
2.593,-0.858,-0.055,-0.532,-0.001,open,,,,,,
2.963,-0.858,-0.055,-0.228,-0.010,open,,,,,,
2.984,-0.914,-0.062,-0.228,-0.010,open,,,,,,
3.363,-0.914,-0.062,0.041,0.010,open,,,,,,
3.417,-0.914,-0.062,0.041,0.010,open,,,,,,
3.431,-0.913,-0.058,0.041,0.010,open,,,,,,
3.765,-0.913,-0.058,-0.019,0.023,open,,,,,,
3.789,-0.916,-0.060,-0.019,0.023,open,,,,,,
4.161,-0.916,-0.060,0.007,-0.018,open,,,,,,
4.182,-0.917,-0.059,0.007,-0.018,open,,,,,,
4.560,-0.917,-0.059,-0.014,0.007,open,,,,,,
4.578,-0.919,-0.059,-0.014,0.007,open,,,,,,
4.972,-0.919,-0.059,-0.003,-0.018,open,,,,,,
5.007,-0.915,-0.060,-0.003,-0.018,open,,,,,,
5.369,-0.915,-0.060,0.004,-0.001,open,,,,,,
5.388,-0.915,-0.061,0.004,-0.001,open,,,,,,
5.784,-0.915,-0.061,0.000,0.008,open,,,,,,
5.837,-0.915,-0.060,0.000,0.008,open,,,,,,
6.159,-0.915,-0.060,0.002,0.000,open,,,,,,
6.204,-0.917,-0.061,0.002,0.000,open,,,,,,
6.560,-0.917,-0.061,0.001,-0.009,open,,,,,,
6.601,-0.915,-0.060,0.001,-0.009,open,,,,,,
6.969,-0.915,-0.060,-0.005,-0.014,open,,,,,,
6.995,-0.917,-0.060,-0.005,-0.014,open,,,,,,
7.361,-0.917,-0.060,-0.014,0.002,open,,,,,,
7.418,-0.918,-0.061,-0.014,0.002,open,,,,,,
7.765,-0.918,-0.061,0.005,-0.002,open,,,,,,
7.786,-0.921,-0.061,0.005,-0.002,open,,,,,,
8.167,-0.921,-0.061,-0.011,0.005,open,,,,,,
8.182,-0.919,-0.059,-0.011,0.005,open,,,,,,
8.563,-0.919,-0.059,0.000,-0.003,open,,,,,,
8.586,-0.920,-0.060,0.000,-0.003,open,,,,,,
8.966,-0.920,-0.060,0.005,0.006,open,,,,,,
8.989,-0.917,-0.060,0.005,0.006,open,,,,,,
9.360,-0.917,-0.060,0.005,-0.010,open,,,,,,
9.383,-0.921,-0.060,0.005,-0.010,open,,,,,,
9.763,-0.921,-0.060,0.010,-0.008,open,,,,,,
9.798,-0.918,-0.061,0.010,-0.008,open,,,,,,
10.166,-0.918,-0.061,0.003,0.015,open,,,,,,
10.193,-0.920,-0.060,0.003,0.015,open,,,,,,
10.558,-0.920,-0.060,-0.013,0.005,open,,,,,,
10.586,-0.920,-0.060,-0.013,0.005,open,,,,,,
10.966,-0.920,-0.060,0.019,-0.009,open,,,,,,
10.999,-0.917,-0.061,0.019,-0.009,open,,,,,,
11.358,-0.917,-0.061,-0.011,-0.007,open,,,,,,
11.372,-0.918,-0.062,-0.011,-0.007,open,,,,,,
11.767,-0.918,-0.062,0.004,-0.009,open,,,,,,
11.789,-0.921,-0.064,0.004,-0.009,open,,,,,,
12.167,-0.921,-0.064,-0.008,-0.004,open,,,,,,
12.204,-0.917,-0.061,-0.008,-0.004,open,,,,,,
12.569,-0.917,-0.061,-0.110,-0.028,open,,,,,,
12.586,-0.933,-0.063,-0.110,-0.028,open,,,,,,
12.963,-0.933,-0.063,-0.419,-0.024,open,,,,,,
13.015,-1.112,-0.066,-0.419,-0.024,open,,,,,,
13.365,-1.112,-0.066,-0.741,-0.022,open,,,,,,
13.429,-1.427,-0.072,-0.741,-0.022,open,,,,,,
13.768,-1.427,-0.072,-0.800,-0.001,open,,,,,,
13.807,-1.727,-0.069,-0.800,-0.001,open,,,,,,
14.159,-1.727,-0.069,-0.741,0.001,open,,,,,,
14.189,-2.038,-0.066,-0.741,0.001,open,,,,,,
14.569,-2.038,-0.066,-0.794,-0.028,open,,,,,,
14.583,-2.356,-0.059,-0.794,-0.028,open,,,,,,
14.964,-2.356,-0.059,-0.828,0.003,open,,,,,,
14.979,-2.681,-0.065,-0.828,0.003,open,,,,,,
15.360,-2.681,-0.065,-0.844,-0.025,open,,,,,,
